Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC150665;75013;2020-01-27;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;2.11;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;131721;104507;"{""coordinates"": [[[2.3709071842996408, 48.83580604945329], [2.37092281217602, 48.83579137754326], [2.3709112838267634, 48.83578639827752], [2.370894557713063, 48.8358005184946], [2.3709071842996408, 48.83580604945329]]], ""type"": ""Polygon""}";48.83579620207483, 2.37090883416615
EC167599;75001;2020-07-06;2025-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;217.14;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,GIG_GIC,TAXI;177247;114992;"{""coordinates"": [[[2.339203554622055, 48.86195137370785], [2.339272064992269, 48.86192711613443], [2.3391200276023856, 48.86162304879429], [2.339035450230149, 48.86163437575303], [2.339203554622055, 48.86195137370785]]], ""type"": ""Polygon""}";48.861781211271726, 2.3391560055602825
EC174292;75001;2020-07-06;2025-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.06;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;177247;114992;"{""coordinates"": [[[2.337899318520143, 48.86259832920914], [2.338024506517199, 48.862561071065954], [2.3380139585788515, 48.862546509839945], [2.3378882503987732, 48.8625819061429], [2.337899318520143, 48.86259832920914]]], ""type"": ""Polygon""}";48.862572287888874, 2.3379553833890476
EC187754;75013;2020-09-28;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;24.38;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;266138;128522;"{""coordinates"": [[[2.3854954086941014, 48.82694272637484], [2.3857272850429094, 48.827047925492806], [2.385735539522516, 48.82704979001868], [2.385735330916579, 48.82704414179088], [2.3854198071926493, 48.826896799975444], [2.3854120056109607, 48.826903317204426], [2.3854954086941014, 48.82694272637484]]], ""type"": ""Polygon""}";48.826969739328085, 2.3855658195095364
EC216480;75008;2021-06-14;2025-05-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;6595.16;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;362862;146262;"{""coordinates"": [[[2.3136848522955384, 48.86708562538812], [2.313721389431711, 48.8670366550386], [2.3137394894217245, 48.86697255268193], [2.3137274500978293, 48.866890973179935], [2.3135232719477252, 48.86510021901488], [2.312947678687976, 48.86509737118838], [2.3129758547761927, 48.86515900696916], [2.313004455897941, 48.86518831451939], [2.313128527584839, 48.86520086656319], [2.3133905717251735, 48.867208707459746], [2.3136848522955384, 48.86708562538812]]], ""type"": ""Polygon""}";48.86608350324193, 2.3134320668848387
EC276109;75009;2022-04-27;2025-12-31;Ville de Paris (Tvx sur espace ou édifice public);DFPE;7.29;;EMPRISE_TROTTOIR;;610951;183306;"{""coordinates"": [[[2.3459868265091166, 48.87713051692203], [2.3459762200792764, 48.8771504952616], [2.3460140616016663, 48.877160719689954], [2.34602537639183, 48.877139380026414], [2.3459868265091166, 48.87713051692203]]], ""type"": ""Polygon""}";48.87714533081693, 2.346000830122144
EC278443;75005;2023-11-13;2025-02-03;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.04;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;577670;178181;"{""coordinates"": [[[2.35138560680364, 48.840531848445636], [2.3514002860640284, 48.84051644548268], [2.351346722369373, 48.84049657408868], [2.3513340956116346, 48.840513354309536], [2.35138560680364, 48.840531848445636]]], ""type"": ""Polygon""}";48.840514445194536, 2.351366600552101
EC284385;75018;2022-11-21;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;72.49;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;646722;188554;"{""coordinates"": [[[2.334376094733322, 48.891676854432546], [2.3343805800037334, 48.891704199936065], [2.3346688245899085, 48.891682123514094], [2.3346513013146906, 48.891648330269156], [2.334376094733322, 48.891676854432546]]], ""type"": ""Polygon""}";48.89167746191113, 2.334524901784665
EC292634;75010;2022-08-01;2024-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.04;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;680148;193595;"{""coordinates"": [[[2.3538487882142194, 48.870810900448106], [2.3538391623862145, 48.87078712570798], [2.353755258655498, 48.87080344182098], [2.353769823519043, 48.870828879131786], [2.3538487882142194, 48.870810900448106]]], ""type"": ""Polygon""}";48.870807634951795, 2.3538025365226587
EC296391;75010;2022-10-10;2026-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;156.74;Construction ou réhabilitation d'immeuble;EMPRISE_PISTE_CYCLABLE,EMPRISE_TROTTOIR;;695954;195855;"{""coordinates"": [[[2.351506146898368, 48.88368890640145], [2.351544243523372, 48.88372904745512], [2.352039898170966, 48.88376392423524], [2.3520458737852303, 48.88372752835082], [2.351506146898368, 48.88368890640145]]], ""type"": ""Polygon""}";48.88372703090374, 2.3517832108832897
