id,valeur_NO2,valeur_CO,valeur_O3,valeur_PM10,valeur_PM25,2_wheeler_motor,4_wheeler_motor,bikes_scooters
2020-01-01 00,42.9,0.718,15.7,73.1,64.4,,,
2020-01-01 01,33.6,0.587,10.1,74.8,66,,,
2020-01-01 02,29.3,,5.1,51,44.9,,,
2020-01-01 03,30.5,0.246,7.2,27.7,25.1,,,
2020-01-01 04,29.3,0.204,8.3,15.3,13.6,,,
2020-01-01 05,32.5,0.242,5.5,13.9,13.2,,,
2020-01-01 06,30.9,0.254,4,18.9,17.4,,,
2020-01-01 07,25.8,0.253,3.9,20.6,17.3,,,
2020-01-01 08,22.1,0.28,4.9,18.6,17.1,,,
2020-01-01 09,21,0.289,6.4,19.8,16.5,,,
2020-01-01 10,20.8,0.302,8.1,19.1,17.1,,,
2020-01-01 11,21,0.295,8.8,21.6,17.8,,,
2020-01-01 12,24.6,0.308,7.9,24.7,21.7,,,
2020-01-01 13,26.9,0.302,6.8,27.3,26,,,
2020-01-01 14,26.3,0.279,7.1,27.5,23.3,,,
2020-01-01 15,30.1,0.317,5.3,25.6,22.3,,,
2020-01-01 16,30.5,0.32,3.8,26.3,23.1,,,
2020-01-01 17,30.9,0.331,4,23.2,19.8,,,
2020-01-01 18,30.5,0.367,4.8,25.1,20.8,,,
2020-01-01 19,30.7,0.38,4.6,28,21.6,,,
2020-01-01 20,28.2,0.348,4.8,25.9,22.8,,,
2020-01-01 21,27.3,0.32,3.9,23.5,20.6,,,
2020-01-01 22,26.3,0.309,3.9,22,21.3,,,
2020-01-01 23,24.1,0.315,3.4,21.7,21.5,,,
2020-01-02 00,21.6,0.309,3.2,20.7,16.8,,,
2020-01-02 01,21.3,0.31,3.4,18.5,16,,,
2020-01-02 02,21,,3.7,16.8,16.3,,,
2020-01-02 03,21.3,0.302,3.7,15,14.3,,,
2020-01-02 04,23.5,0.305,2.5,15.6,12.4,,,
2020-01-02 05,27.4,0.332,2.1,15.1,12.8,,,
2020-01-02 06,29.8,0.335,1.9,17.7,14.1,,,
2020-01-02 07,37.2,0.434,2.5,17.3,13.6,,,
2020-01-02 08,39.8,0.465,3,19.8,13.4,,,
2020-01-02 09,44.2,0.474,4.9,22.6,15.9,,,
2020-01-02 10,44.9,0.346,9.4,23.8,15.4,,,
2020-01-02 11,38.9,0.277,15.1,19.7,13.9,,,
2020-01-02 12,39.3,0.28,17.6,17.1,12.8,,,
2020-01-02 13,41.1,0.272,19.1,21,10.8,,,
2020-01-02 14,42.2,0.255,21.7,16.6,10.1,,,
2020-01-02 15,46,0.239,19.9,18.6,9.7,,,
2020-01-02 16,52.3,0.269,13.4,13.4,8,,,
2020-01-02 17,55.1,0.309,8.9,16.2,9.5,,,
2020-01-02 18,44.5,0.283,12.9,20.1,12.7,,,
2020-01-02 19,45.7,0.286,9.9,24.3,17.7,,,
2020-01-02 20,37.8,0.25,16.8,26.6,16.6,,,
2020-01-02 21,27.1,0.214,30.1,20.9,13.9,,,
2020-01-02 22,21.8,0.211,36.8,17.3,12.2,,,
2020-01-02 23,18.7,0.188,38.9,17.2,10.7,,,
2020-01-03 00,15.4,0.185,39.5,15.5,12,,,
2020-01-03 01,14.1,0.183,39.9,16,10,,,
2020-01-03 02,11.7,,43.5,17.1,6.6,,,
2020-01-03 03,11.5,0.164,44,15.7,6.6,,,
2020-01-03 04,12.2,0.182,42.9,15.8,9.1,,,
2020-01-03 05,19.8,0.202,35.4,18.8,11.2,,,
2020-01-03 06,27.7,0.223,28,18.5,10.1,,,
2020-01-03 07,28.9,0.236,26.7,13.5,10.1,,,
2020-01-03 08,39,0.303,16.9,15.1,10.5,,,
2020-01-03 09,32.4,0.255,29.5,16.1,7.3,,,
2020-01-03 10,23.8,0.21,44,11.3,5,,,
2020-01-03 11,21,0.209,50.4,12.1,4.8,,,
2020-01-03 12,19,0.192,56.3,12.3,6.7,,,
2020-01-03 13,28.2,0.224,45.5,12.8,6.8,,,
2020-01-03 14,30.6,0.215,43.1,13.5,5.5,,,
2020-01-03 15,31.1,0.225,40.7,10.5,4,,,
2020-01-03 16,36.6,0.253,32.9,9.6,3.8,,,
2020-01-03 17,51.2,0.307,20.3,10.6,5.9,,,
2020-01-03 18,33.8,0.268,33.7,10.9,6.6,,,
2020-01-03 19,28.8,0.245,35.1,10.6,8.9,,,
2020-01-03 20,26,0.224,40.3,16.8,10.4,,,
2020-01-03 21,21.4,0.207,48,14.7,9.6,,,
2020-01-03 22,21.7,0.181,54.9,11.3,7.2,,,
2020-01-03 23,17.7,0.166,54.5,9.8,5.9,,,
2020-01-04 00,19.6,0.146,49.6,10.5,5.8,,,
2020-01-04 01,25,0.15,44.8,15.3,2.4,,,
2020-01-04 02,19.5,,48.1,16,3.5,,,
2020-01-04 03,17.6,0.145,48,16.3,3.3,,,
2020-01-04 04,25.5,0.192,35.3,14.2,6.9,,,
2020-01-04 05,33.9,0.202,27.2,18,6.4,,,
2020-01-04 06,42.9,0.213,20.4,20.1,6.6,,,
2020-01-04 07,48.8,0.232,15.7,20.3,7.6,,,
2020-01-04 08,46.6,0.229,18,22.5,7.9,,,
2020-01-04 09,39.6,0.221,26.7,24.4,7.5,,,
2020-01-04 10,35.2,0.221,33.3,23.6,9.6,,,
2020-01-04 11,29.2,0.205,43,23.7,8.3,,,
2020-01-04 12,24.2,0.185,48,23.8,8.9,,,
2020-01-04 13,20.2,0.175,53.3,21.5,8.4,,,
2020-01-04 14,24.2,0.172,50.7,21,7.6,,,
2020-01-04 15,36.9,0.197,39.8,21.6,7.9,,,
2020-01-04 16,44.3,0.229,30.7,23.6,8.6,,,
2020-01-04 17,55.6,0.252,19.9,23.8,9.3,,,
2020-01-04 18,46.2,0.246,29.5,27.8,7.9,,,
2020-01-04 19,39,0.234,38.4,23.8,11.2,,,
2020-01-04 20,35,0.226,42.1,19.3,10.2,,,
2020-01-04 21,21.8,0.185,55.6,16.9,9.7,,,
2020-01-04 22,22.2,0.198,53.2,14.7,9.1,,,
2020-01-04 23,21.1,0.199,53.3,13.9,9.4,,,
2020-01-05 00,18.7,0.184,55.2,13.4,7.2,,,
2020-01-05 01,22.7,0.201,48.6,12.2,4.9,,,
2020-01-05 02,,,42.3,13.1,7.3,,,
2020-01-05 03,22.4,0.201,46.6,13.7,7.1,,,
2020-01-05 04,21.3,0.203,47.3,12,5.4,,,
2020-01-05 05,22.1,0.199,51.4,10.9,5.8,,,
2020-01-05 06,25.4,0.202,42,9.9,5.1,,,
2020-01-05 07,33.2,0.214,35.8,11.1,6.3,,,
2020-01-05 08,32.7,0.235,34,12.7,6.8,,,
2020-01-05 09,32.4,0.241,32.1,12.6,7.1,,,
2020-01-05 10,40.8,0.273,26.5,15.5,8.8,,,
2020-01-05 11,28.6,0.229,45.9,15.9,9.3,,,
2020-01-05 12,16.5,0.172,61.5,11.3,6.5,,,
2020-01-05 13,11.7,0.142,68.6,5.7,6.5,,,
2020-01-05 14,14.8,0.143,63.5,10.1,6.2,,,
2020-01-05 15,21.7,0.165,54.8,15.7,4.2,,,
2020-01-05 16,35.6,0.212,40.1,16.9,6.8,,,
2020-01-05 17,36.3,0.206,40.9,15.9,10.6,,,
2020-01-05 18,38.1,0.207,40.2,16.4,9.9,,,
2020-01-05 19,27.5,0.184,49.4,15.6,10.5,,,
2020-01-05 20,24,0.164,52.5,12.9,11.6,,,
2020-01-05 21,19.8,0.168,55.3,14.6,11.5,,,
2020-01-05 22,20.7,0.173,52.3,14.4,12.3,,,
2020-01-05 23,32,0.174,41.7,13.9,11.7,,,
2020-01-06 00,39.7,0.189,33.4,17.1,15.1,,,
2020-01-06 01,42.8,0.189,30.1,17.4,9.1,,,
2020-01-06 02,36.1,,32.9,17.9,10.6,,,
2020-01-06 03,36.4,0.17,31.7,18.8,8.3,,,
2020-01-06 04,43.9,0.183,18.8,18.4,13.1,,,
